time,Fx,Fy,Fz
2.8983,-0.113351,-0.0174386,0.0697545
2.89831,0.0871931,0.0174386,0.0348772
2.89832,0.165667,0.37493,-0.0959124
2.89833,0.0697545,0.209263,-0.12207
2.89834,-0.0435965,0.601632,0.00871931
2.89835,-0.191825,0.619071,0
2.89836,-0.0348772,0.0261579,-0.156948
2.89837,-0.165667,0.287737,-0.0348772
2.89838,-0.156948,0.183105,0.191825
2.89839,0.0610352,-0.0435965,-0.0784738
2.8984,-0.0435965,0.00871931,-0.148228
2.89841,-0.165667,0.104632,0.0959124
2.89842,-0.209263,0.287737,0.0523158
2.89843,-0.0697545,0.313895,-0.0348772
2.89844,-0.139509,0.645229,-0.226702
2.89845,-0.13079,0.767299,-0.200544
2.89846,-0.165667,0.25286,-0.104632
2.89847,-0.139509,0.366211,-0.113351
2.89848,0.244141,0.296456,0
2.89849,-0.0174386,0.0523158,-0.0871931
2.8985,-0.191825,0.287737,-0.113351
2.89851,0.0348772,0.409808,-0.148228
2.89852,-0.0697545,0.863212,0.00871931
2.89853,-0.0959124,0.741141,-0.0348772
2.89854,0.0174386,0.0174386,-0.226702
2.89855,0.00871931,-0.0610352,-0.156948
2.89856,0.0610352,0.00871931,-0.235421
2.89857,0.0784738,-0.0174386,-0.165667
2.89858,-0.0435965,-0.113351,-0.191825
2.89859,-0.0871931,-0.200544,-0.305176
2.8986,-0.0174386,0.148228,-0.156948
2.89861,0.0174386,0.401088,-0.113351
2.89862,0.156948,0.340053,-0.25286
2.89863,0.0959124,-0.174386,-0.0959124
2.89864,-0.0784738,-0.287737,-0.226702
2.89865,0.0610352,0.104632,-0.235421
2.89866,0.113351,-0.0348772,-0.0348772
2.89867,0.37493,-0.156948,-0.0435965
2.89868,0.296456,0.165667,-0.0348772
2.89869,0.174386,0.0435965,-0.113351
2.8987,0.313895,0.209263,-0.174386
2.89871,0.00871931,0.488281,-0.37493
2.89872,0.0174386,-0.00871931,-0.305176
2.89873,-0.148228,0.156948,-0.104632
2.89874,-0.0784738,0.357492,-0.0610352
2.89875,0.0871931,0.279018,0.0261579
2.89876,-0.0348772,0.575474,0.0435965
2.89877,0.165667,0.688825,-0.0871931
2.89878,0.0610352,0.366211,-0.183105
2.89879,-0.12207,0.0697545,0
2.8988,-0.0523158,0.191825,0.0348772
2.89881,-0.156948,0.0261579,-0.0174386
2.89882,-0.174386,-0.13079,0.0523158
2.89883,0.148228,0.156948,-0.13079
2.89884,0.209263,0.435965,-0.0610352
2.89885,0.200544,0.470843,-0.113351
2.89886,0.183105,0.209263,-0.409808
2.89887,0.174386,-0.00871931,-0.366211
2.89888,0.226702,0.287737,-0.209263
2.89889,0.174386,-0.183105,-0.226702
2.8989,0.401088,-0.610352,-0.331334
2.89891,0.348772,0.183105,-0.270299
2.89892,-0.0784738,0.531878,-0.13079
2.89893,-0.139509,0.0523158,-0.165667
2.89894,-0.13079,-0.0348772,-0.113351
2.89895,-0.0610352,0.200544,-0.183105
2.89896,0.12207,0.12207,-0.200544
2.89897,0.0959124,0.357492,-0.113351
2.89898,0.0871931,0.357492,-0.418527
2.89899,0.139509,0.270299,-0.244141
2.899,0.0784738,-0.0959124,-0.0435965
2.89901,0.0348772,0.00871931,-0.191825
2.89902,0.0697545,0.488281,-0.217983
2.89903,-0.0174386,0.287737,-0.226702
2.89904,-0.0435965,0.479562,-0.0871931
2.89905,0.0348772,0.279018,-0.165667
2.89906,0.0435965,-0.0261579,-0.279018
2.89907,0.00871931,0.209263,-0.191825
2.89908,0.0435965,0.139509,-0.200544
2.89909,-0.0697545,0.200544,-0.409808
2.8991,-0.287737,0.174386,-0.270299
2.89911,-0.0959124,-0.0697545,-0.113351
2.89912,0.0174386,0.340053,-0.418527
2.89913,0,0.25286,-0.427246
2.89914,-0.13079,0.287737,-0.38365
2.89915,-0.313895,0.619071,-0.226702
2.89916,-0.113351,0.0348772,-0.13079
2.89917,-0.12207,0.38365,-0.191825
2.89918,-0.0784738,0.401088,-0.25286
2.89919,-0.174386,-0.00871931,-0.357492
2.8992,-0.183105,-0.0784738,-0.148228
2.89921,0.00871931,-0.331334,-0.139509
2.89922,-0.13079,-0.0959124,-0.0784738
2.89923,0.00871931,0.0435965,-0.0435965
2.89924,0.0610352,0.156948,-0.174386
2.89925,0.0348772,-0.104632,-0.0871931
2.89926,0.104632,-0.244141,-0.0871931
2.89927,-0.00871931,-0.113351,0.0435965
2.89928,-0.139509,0.0523158,0.183105
2.89929,0.0697545,-0.00871931,0.0610352
2.8993,0.12207,-0.191825,-0.00871931
2.89931,-0.0523158,0.0959124,-0.0523158
2.89932,0.12207,0.296456,-0.0871931
2.89933,0.0697545,0.00871931,-0.244141
2.89934,-0.0348772,-0.104632,-0.191825
2.89935,0.0174386,0.113351,-0.209263
2.89936,-0.13079,-0.104632,-0.279018
2.89937,-0.244141,-0.279018,-0.148228
2.89938,-0.200544,-0.0784738,-0.540597
2.89939,-0.113351,-0.0261579,-0.488281
2.8994,-0.156948,-0.113351,-0.200544
2.89941,-0.0871931,-0.104632,-0.444685
2.89942,0.0435965,-0.217983,-0.313895
2.89943,-0.183105,-0.261579,-0.156948
2.89944,-0.156948,-0.357492,-0.409808
2.89945,0.0784738,-0.113351,-0.497001
2.89946,0.0523158,0.217983,-0.0959124
2.89947,0.12207,0.0959124,0.0174386
2.89948,0.0697545,0.104632,-0.435965
2.89949,-0.200544,0.0348772,-0.191825
2.8995,-0.244141,0.0959124,-0.0523158
2.89951,-0.200544,0.209263,-0.183105
2.89952,-0.13079,0.13079,-0.0174386
2.89953,-0.0784738,-0.0784738,-0.296456
2.89954,-0.0697545,-0.340053,-0.418527
2.89955,-0.0959124,-0.113351,-0.261579
2.89956,-0.148228,0.104632,-0.279018
2.89957,-0.104632,-0.0697545,-0.235421
2.89958,-0.0523158,0.148228,-0.331334
2.89959,0.12207,0.418527,-0.305176
2.8996,0.0784738,0.217983,-0.340053
2.89961,-0.217983,-0.0523158,-0.235421
2.89962,-0.0523158,-0.183105,0.0261579
2.89963,0.0261579,-0.226702,-0.444685
2.89964,-0.235421,-0.662667,-0.435965
2.89965,-0.139509,-0.697545,-0.0697545
2.89966,-0.226702,-0.287737,-0.261579
2.89967,-0.174386,0.244141,-0.165667
2.89968,0.0871931,0,-0.13079
2.89969,-0.209263,-0.488281,-0.217983
2.8997,-0.244141,-0.0348772,-0.322614
2.89971,0.0523158,-0.470843,-0.435965
2.89972,0.0174386,-0.601632,-0.340053
2.89973,-0.25286,0,-0.313895
2.89974,-0.331334,0.0697545,-0.279018
2.89975,-0.165667,0.13079,-0.261579
2.89976,0.0261579,0.0261579,-0.279018
2.89977,-0.0784738,-0.0871931,-0.418527
2.89978,-0.0784738,-0.462123,-0.357492
2.89979,0.00871931,-0.0610352,-0.340053
2.8998,-0.0697545,0.0348772,-0.523158
